,Total Traded Quantity,Trend
0,1270297,Slight or No change
2,2114918,Slight or No change
3,2161434,Slight negative
5,2404372,Slight negative
7,2142433,Negative
9,1920867,Slight or No change
11,1408855,Slight negative
13,2209471,Slight positive
15,4099792,Slight positive
17,1871008,Slight positive
19,3464406,Among top gainers
21,1605211,Negative
23,4907685,Slight negative
25,2990228,Slight positive
27,3427957,Positive
29,2988075,Slight or No change
31,2170920,Slight or No change
33,1726464,Slight or No change
35,2289492,Positive
37,2633241,Slight positive
39,2000556,Slight or No change
41,2737084,Positive
43,6519614,Slight negative
45,5678766,Slight negative
47,2692532,Slight or No change
49,2907637,Slight positive
51,2304515,Negative
53,2359678,Slight or No change
55,3438975,Positive
57,2590704,Slight or No change
59,3612290,Slight or No change
61,1683069,Negative
63,2783220,Slight or No change
65,1866235,Negative
67,1518180,Slight or No change
69,1909048,Positive
71,1317408,Slight negative
73,2397552,Positive
75,3405664,Negative
77,380665,Slight positive
79,1547377,Slight or No change
81,2067988,Slight or No change
82,2728741,Positive
84,1214121,Slight negative
86,1080487,Slight or No change
88,2073732,Slight or No change
90,2812906,Slight or No change
92,1042156,Slight or No change
94,2044159,Slight negative
96,5390510,Slight negative
98,2986733,Slight or No change
100,5038801,Slight or No change
102,9028591,Among top gainers
104,7936274,Among top gainers
106,4669583,Slight or No change
108,3259641,Slight negative
110,1960377,Slight negative
112,3975454,Negative
114,5369383,Slight or No change
116,2372097,Slight or No change
118,2915229,Slight or No change
120,1817847,Slight positive
122,3177026,Negative
124,1987331,Slight negative
126,2144672,Positive
128,3357599,Positive
130,2408279,Positive
132,1897962,Negative
134,1685595,Slight or No change
136,1505736,Slight positive
138,2858972,Slight positive
140,1560281,Slight or No change
142,4268581,Slight positive
144,3262401,Negative
146,2399821,Positive
148,4646322,Positive
150,2115809,Slight negative
151,1660749,Slight or No change
153,1287567,Slight positive
155,1904953,Slight or No change
157,2919242,Slight or No change
159,1617395,Slight or No change
161,1803438,Slight or No change
163,2319571,Slight positive
165,1953168,Negative
167,3630935,Slight or No change
169,4778170,Slight or No change
171,1878242,Slight or No change
173,2407597,Negative
175,1907381,Slight positive
177,4404969,Positive
179,2208485,Slight or No change
181,2021237,Negative
183,2493262,Slight negative
185,2823110,Negative
187,3640524,Positive
189,2811969,Slight or No change
191,3369694,Positive
193,2256778,Slight or No change
195,1318348,Slight negative
197,3033715,Slight negative
199,1512781,Slight positive
201,1956024,Slight or No change
203,1251359,Slight or No change
205,1570135,Slight or No change
206,2721949,Slight positive
208,2650209,Slight or No change
210,1432658,Slight or No change
211,1747083,Slight or No change
212,119832,Slight or No change
214,2813675,Negative
216,1561822,Slight or No change
218,3823429,Negative
220,6425264,Slight positive
222,1217140,Slight or No change
224,2705599,Slight or No change
226,2287919,Slight or No change
228,3406418,Positive
230,2386293,Slight or No change
232,1614278,Slight positive
234,1465290,Slight positive
236,2261156,Negative
238,2713933,Slight negative
240,3596933,Negative
242,2331920,Slight negative
244,3835863,Negative
246,3488363,Slight negative
248,2688079,Slight negative
250,4085012,Slight positive
252,4157219,Positive
254,3406045,Slight negative
256,3626597,Slight or No change
258,3096864,Positive
260,1891748,Slight negative
262,1269395,Slight or No change
264,1160941,Slight or No change
266,2024236,Slight positive
268,5140571,Negative
269,6832920,Negative
271,2269479,Negative
273,3197224,Positive
275,2444540,Slight or No change
277,3917846,Negative
279,2212536,Slight or No change
281,3673846,Positive
283,2775331,Positive
285,3650373,Slight or No change
287,2176285,Slight negative
289,1996271,Slight or No change
291,2987009,Positive
293,2221752,Slight or No change
295,2431117,Slight negative
297,2487331,Slight negative
299,1712824,Slight or No change
301,1827617,Slight or No change
302,1367535,Slight or No change
304,987445,Slight or No change
306,1150023,Slight negative
308,2178686,Slight positive
309,1387222,Negative
311,1468475,Positive
313,2133332,Slight or No change
314,1585554,Slight or No change
316,2302884,Positive
318,2997037,Slight positive
320,1470161,Slight or No change
321,1465727,Slight or No change
323,1680803,Slight positive
325,3280043,Positive
327,9486397,Among top gainers
329,5373079,Negative
331,3622589,Slight positive
333,6605642,Positive
335,2833442,Slight or No change
337,3649174,Negative
339,2158639,Slight positive
341,3401495,Positive
343,4622281,Slight or No change
345,6305147,Among top gainers
347,4066082,Negative
349,3665385,Slight positive
351,3838192,Slight positive
353,3272591,Among top losers
355,6082208,Among top losers
357,3601190,Negative
359,3549234,Slight or No change
361,1865933,Positive
363,2773971,Negative
365,3194895,Positive
367,3923887,Slight or No change
369,3382968,Slight positive
371,2368880,Slight negative
373,1603737,Slight or No change
375,2523482,Slight or No change
377,3795216,Slight positive
379,6229874,Slight or No change
381,2023292,Slight or No change
383,2253522,Positive
385,2558313,Slight negative
387,2802070,Negative
389,3272003,Slight or No change
391,2163209,Negative
393,2899309,Slight or No change
395,1624922,Negative
397,3174098,Positive
399,3000976,Positive
401,3242604,Positive
403,3264920,Slight positive
405,1649636,Negative
407,1548960,Slight negative
409,8008654,Negative
411,3986719,Slight negative
413,3441458,Positive
415,3574861,Slight positive
417,2664935,Slight or No change
419,2788553,Negative
421,1922453,Positive
423,3597668,Slight or No change
425,4010323,Slight or No change
427,2607397,Slight positive
429,1950749,Slight negative
431,2268911,Negative
433,3549233,Positive
435,3260963,Slight or No change
437,1480293,Slight or No change
439,1673162,Negative
441,1917617,Slight or No change
443,1296216,Slight positive
445,1849910,Slight positive
447,2555945,Positive
449,2842835,Positive
451,1690874,Slight negative
453,1655535,Negative
455,2627245,Negative
457,2514450,Slight or No change
459,2381491,Positive
461,1299220,Slight negative
