Year,Month,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,VWAP
2017,5,HDFC,EQ,2017-05-15,1549.8,1554.5,1572.6,1554.1,1561.0,1559.5,1562.62,1270297,1984989921.95,59917,955875,75.25,1559.5
2017,6,HDFC,EQ,2017-06-01,1569.85,1551.8,1587.4,1551.8,1577.25,1583.75,1575.11,2990228,4709941589.05,155736,1983472,66.33,1583.75
2017,7,HDFC,EQ,2017-07-03,1614.95,1610.35,1629.0,1600.7,1617.05,1621.65,1617.86,1518180,2456199460.3,64639,860304,56.67,1621.65
2017,8,HDFC,EQ,2017-08-01,1789.25,1787.25,1799.0,1754.7,1784.1,1779.1,1769.15,3259641,5766780770.7,105776,2084596,63.95,1779.1
2017,9,HDFC,EQ,2017-09-01,1776.9,1776.0,1776.0,1751.65,1760.0,1759.55,1760.38,2115809,3724631182.9,110351,1573432,74.37,1759.55
2017,10,HDFC,EQ,2017-10-03,1742.15,1753.1,1768.0,1734.15,1761.0,1761.6,1755.54,3369694,5915615794.8,99941,2512266,74.55,1761.6
2017,11,HDFC,EQ,2017-11-01,1707.4,1710.0,1760.1,1701.25,1751.9,1754.3,1741.46,3406418,5932123692.45,116177,2609185,76.6,1754.3
2017,12,HDFC,EQ,2017-12-01,1675.7,1684.2,1685.75,1651.05,1662.65,1658.8,1668.28,2269479,3786124264.9,78800,1529584,67.4,1658.8
2018,1,HDFC,EQ,2018-01-01,1710.4,1710.0,1711.05,1677.5,1688.8,1683.75,1687.66,1387222,2341160632.3,23130,1021574,73.64,1683.75
2018,2,HDFC,EQ,2018-02-01,1956.3,1963.0,1975.3,1931.8,1967.0,1967.55,1962.16,3838192,7531148298.4,89711,2532286,65.98,1967.55
2018,3,HDFC,EQ,2018-03-01,1808.7,1811.0,1818.5,1801.0,1816.0,1814.15,1813.85,3272003,5934935523.3,137372,2579712,78.84,1814.1500000000003
2018,4,HDFC,EQ,2018-04-02,1825.6,1830.95,1854.15,1828.95,1837.0,1838.05,1837.11,2607397,4790081325.9,132089,2107655,80.83,1838.0499999999997
2018,5,HDFC,EQ,2018-05-02,1883.25,1897.0,1912.5,1871.35,1906.7,1910.6,1896.68,4812147,9127109493.45,128221,3557446,73.93,1910.5999999999997
2018,6,HDFC,EQ,2018-06-01,1833.0,1833.0,1857.0,1823.95,1836.75,1844.25,1844.43,2653497,4894194546.75,120558,1932650,72.83,1844.25
2018,7,HDFC,EQ,2018-07-02,1908.1,1912.9,1915.35,1879.3,1894.0,1897.1,1895.71,2283964,4329737603.8,118064,1814407,79.44,1897.1
2018,8,HDFC,EQ,2018-08-01,1994.85,1995.0,1995.2,1959.65,1962.5,1970.15,1980.41,3415429,6763965848.0,133314,2817039,82.48,1970.15
2018,9,HDFC,EQ,2018-09-03,1935.95,1950.0,1950.0,1928.1,1943.0,1944.8,1939.87,2310201,4481480074.2,106865,1847906,79.99,1944.8000000000002
2018,10,HDFC,EQ,2018-10-01,1754.5,1765.7,1817.1,1753.1,1815.0,1806.35,1781.73,2700216,4811048087.2,133818,1793589,66.42,1806.3499999999997
2018,11,HDFC,EQ,2018-11-01,1769.25,1776.8,1794.9,1748.25,1762.0,1762.0,1764.01,5142502,9071412450.25,192929,2990296,58.15,1762.0
2018,12,HDFC,EQ,2018-12-03,1989.0,2000.15,2017.0,1955.0,1976.4,1980.75,1989.66,3249616,6465621633.25,158261,2167935,66.71,1980.75
2019,1,HDFC,EQ,2019-01-01,1968.35,1968.0,2014.7,1954.5,2010.0,2009.0,1990.57,1305443,2598578693.85,38275,550585,42.18,2009.0
2019,2,HDFC,EQ,2019-02-01,1922.35,1929.0,1974.45,1925.1,1963.7,1961.25,1955.77,4867443,9519609997.05,172934,3347385,68.77,1961.25
2019,3,HDFC,EQ,2019-03-01,1841.2,1850.4,1863.4,1838.3,1859.8,1859.45,1851.62,2679223,4960916150.2,90888,1919501,71.64,1859.45
2019,4,HDFC,EQ,2019-04-01,1968.25,1968.1,1975.0,1945.05,1951.0,1959.65,1960.06,3328552,6524154342.3,168073,2370360,71.21,1959.65
2019,5,HDFC,EQ,2019-05-02,1995.05,1995.0,2027.9,1989.25,2018.0,2017.4,2012.44,2380823,4791258031.1,124835,1428794,60.01,2017.3999999999999
