,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Day_Perc_Change,Per_Change_OpenandClose,Per_Change_LowandHigh,Rolling_Mean_5days,Rolling_Std_5days,Action,Actions,cummulative_returns
5,BAJFINANCE,EQ,22-May-2017,1289.15,1299.0,1304.0,1237.35,1240.0,22-May-2017,1264.99,873873,1105443652.65,39772,391500,44.8,-3.645813132684328,-4.376443418013853,5.386511496342994,-1.3888507643104853,1.7401132451689347,-1,-1,-3.645813132684328
6,BAJFINANCE,EQ,23-May-2017,1242.15,1249.9,1265.0,1190.55,1230.7,23-May-2017,1231.01,1348383,1659867589.9,60446,466036,34.56,-0.6762468300929858,-1.2921033682694705,6.2534122884381205,-1.746163973684047,1.197452144011357,-1,-1,-4.322059962777313
7,BAJFINANCE,EQ,24-May-2017,1233.75,1234.0,1254.9,1210.0,1225.0,24-May-2017,1231.39,787101,969230740.9,42989,266289,33.83,-0.7619047619047747,-0.7820097244732649,3.710743801652905,-1.557977313377188,1.2772416093555023,1,1,-5.0839647246820885
8,BAJFINANCE,EQ,25-May-2017,1224.35,1230.0,1268.0,1228.25,1263.0,25-May-2017,1250.15,905807,1132395407.4,38094,349445,38.58,2.8178217013109075,2.3455284552845512,3.2363118257683787,-0.8396726349507542,2.3705540082562684,1,1,-2.266143023371181
9,BAJFINANCE,EQ,26-May-2017,1258.85,1261.7,1326.7,1261.7,1314.85,26-May-2017,1305.26,1306793,1705701981.25,40302,456603,34.94,4.682845454184381,4.446381865736693,5.151779345327734,0.4833404861626402,3.279894533373437,-1,-1,2.4167024308132
10,BAJFINANCE,EQ,29-May-2017,1317.8,1319.4,1333.0,1301.9,1309.95,29-May-2017,1318.58,652289,860093352.45,24119,192661,29.54,-0.7853999089391328,-0.9057147188115899,2.388816345341427,1.0554231309116793,2.547264828213909,1,1,1.6313025218740673
11,BAJFINANCE,EQ,30-May-2017,1307.45,1305.2,1324.9,1303.7,1322.35,30-May-2017,1317.44,513005,675851927.35,25635,204921,39.95,1.0784351218019683,1.2526815813668435,1.6261409833550733,1.40635952129067,2.363276294027013,1,1,2.7097376436760356
12,BAJFINANCE,EQ,31-May-2017,1321.55,1323.0,1334.9,1316.1,1329.4,31-May-2017,1326.64,726284,963517605.55,42248,356399,49.07,0.4086111006015747,0.298563869992452,1.4284628827596846,1.64046269379194,2.1424524382101775,1,1,3.1183487442776103
13,BAJFINANCE,EQ,01-Jun-2017,1326.95,1334.0,1339.0,1320.25,1323.8,01-Jun-2017,1329.35,387968,515743856.35,12771,156031,40.22,0.030144315912417063,-0.49850074962519697,1.4201855709145894,1.0829272167122421,2.122094001482321,1,1,3.1484930601900274
14,BAJFINANCE,EQ,02-Jun-2017,1327.35,1332.4,1365.0,1318.0,1362.0,02-Jun-2017,1346.17,668081,899348743.7,21491,198882,29.77,2.553960899536678,2.165265685980189,3.5660091047041043,0.6571503057827014,1.2561081456850156,1,1,5.702453959726705
15,BAJFINANCE,EQ,05-Jun-2017,1361.25,1368.55,1372.65,1348.05,1361.75,05-Jun-2017,1361.85,570009,776267840.05,16609,161674,28.36,0.13590449954086203,-0.3982317050893358,1.8248581284077137,0.8414111874787004,1.0406988517984868,-1,-1,5.8383584592675675
16,BAJFINANCE,EQ,06-Jun-2017,1363.1,1363.4,1367.9,1325.0,1333.65,06-Jun-2017,1342.1,601678,807514827.35,22461,242587,40.32,-1.9404299024282756,-1.9620067478362868,3.2377358490566,0.2376381826326516,1.5962429872741313,1,1,3.897928556839292
17,BAJFINANCE,EQ,07-Jun-2017,1336.65,1341.1,1360.0,1335.1,1341.3,07-Jun-2017,1346.68,550988,742007098.0,15482,219513,39.84,0.4862903527475426,0.15285959287154594,1.8650288367912493,0.25317403306184516,1.5986991624027185,1,1,4.384218909586835
18,BAJFINANCE,EQ,08-Jun-2017,1343.15,1344.9,1372.0,1344.7,1360.0,08-Jun-2017,1360.76,570819,776748073.45,19214,220896,38.7,1.3810817853553203,1.2491635065804196,2.0301926080166455,0.5233615269504258,1.6643905251736761,1,1,5.765300694942155
