,middle_band,price,upper_band,lower_band,call,calls
0,1297.8142857142855,1327.35,1379.5386764673285,1216.0898949612426,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
1,1299.8357142857142,1361.25,1386.5513630249338,1213.1200655464945,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
2,1300.9321428571425,1363.1,1390.5955699879141,1211.268715726371,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
3,1301.7785714285712,1336.65,1392.6284621129446,1210.9286807441974,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
4,1303.8214285714287,1343.15,1397.1605020474524,1210.4823550954045,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
5,1309.0035714285714,1361.7,1406.7840277445584,1211.2231151125845,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
6,1318.6249999999998,1376.85,1414.5593345130485,1222.690665486951,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
7,1327.9964285714286,1364.95,1413.2539521671224,1242.7389049757342,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
8,1338.5071428571428,1371.5,1402.3026678646936,1274.711617849592,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
9,1345.8035714285713,1361.0,1391.0121898085238,1300.594953048619,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
10,1352.05,1405.25,1404.2208436109374,1299.8791563890622,Short,Short
11,1359.3964285714285,1410.3,1413.4453019573346,1305.3475551855229,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
12,1364.9892857142854,1399.85,1418.3685697768594,1311.610001651712,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
13,1370.8928571428567,1409.6,1424.430993904534,1317.3547203811795,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
14,1377.2714285714285,1416.65,1429.7300820965647,1324.8127750462925,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
15,1380.167857142857,1401.8,1433.2895549717075,1327.0461593140064,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
16,1382.857142857143,1400.75,1436.0687213707708,1329.6455643435147,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
17,1383.8071428571427,1349.95,1433.8453721983608,1333.7689135159246,Hold Buy/Liquidate Short,Hold Buy/Liquidate Short
18,1385.8928571428567,1372.35,1430.8023020487806,1340.9834122369334,Hold Buy/Liquidate Short,Hold Buy/Liquidate Short
19,1386.935714285714,1376.3,1430.0680407059006,1343.8033878655274,Hold Buy/Liquidate Short,Hold Buy/Liquidate Short
20,1386.6678571428567,1373.1,1430.115413631515,1343.220300654199,Hold Buy/Liquidate Short,Hold Buy/Liquidate Short
21,1388.2535714285711,1387.15,1429.8684996724978,1346.6386431846445,Hold Buy/Liquidate Short,Hold Buy/Liquidate Short
22,1388.828571428571,1379.55,1429.6614336520615,1347.9957092050806,Hold Buy/Liquidate Short,Hold Buy/Liquidate Short
23,1391.5107142857141,1398.55,1429.2880411971216,1353.7333873743064,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
24,1391.0857142857135,1399.3,1428.327283875279,1353.8441446961485,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
25,1389.7571428571425,1391.7,1425.3359363927652,1354.1783493215198,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
26,1390.6821428571427,1412.8,1428.0211018295456,1353.3431838847396,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
27,1391.367857142857,1419.2,1430.5123352315366,1352.2233790541775,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
28,1393.2999999999995,1443.7,1439.7994458196908,1346.8005541803086,Short,Short
29,1399.3071428571427,1485.9,1467.2991204058872,1331.3151653083987,Short,Short
30,1406.3535714285715,1499.4,1492.9042632383262,1319.8028796188166,Short,Short
31,1419.8214285714291,1538.5,1525.196616968272,1314.4462401745857,Short,Hold Short/Liquidate Buy
32,1429.8214285714291,1512.35,1542.1338685583871,1317.5089885844704,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
33,1441.6464285714285,1541.85,1564.088254408377,1319.2046027344802,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
34,1457.5214285714285,1595.35,1597.9843539524459,1317.0585031904109,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
35,1474.2499999999998,1621.35,1633.1808412728385,1315.3191587271613,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
36,1489.810714285714,1597.4,1651.4367983314396,1328.1846302399888,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
37,1506.1642857142856,1627.5,1674.216834403316,1338.1117370252553,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
38,1526.725,1687.15,1708.3440804530605,1345.10591954694,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
39,1547.2714285714285,1679.35,1728.1711488343647,1366.3717083084925,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
40,1567.8821428571425,1701.35,1748.5354215096813,1387.2288642046042,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
41,1588.1607142857142,1703.1,1760.4628870412055,1415.8585415302225,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
42,1607.6285714285711,1716.25,1770.9763632682548,1444.2807795888875,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
43,1623.435714285714,1707.2,1778.6691683950799,1468.2022601763474,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
44,1637.8892857142853,1701.75,1780.545646237753,1495.2329251908175,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
45,1651.0999999999995,1723.45,1788.2571866369135,1513.9428133630859,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
46,1671.5142857142855,1798.15,1804.7313349152093,1538.2972365133612,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
47,1688.5107142857141,1779.8,1810.728314545193,1566.2931140262344,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
48,1695.8214285714291,1697.7,1805.6506436442664,1585.9922134985916,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
49,1696.8392857142858,1635.6,1803.9253128037308,1589.7532586248408,Hold Buy/Liquidate Short,Hold Buy/Liquidate Short
50,1703.8392857142858,1695.4,1794.4729624114575,1613.205609017114,Hold Buy/Liquidate Short,Hold Buy/Liquidate Short
51,1709.7964285714286,1710.9,1789.0668466088227,1630.5260105340344,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
52,1712.2392857142856,1721.35,1790.6061270005453,1633.8724444280256,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
53,1715.767857142857,1728.75,1792.1797229868298,1639.3559912988846,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
54,1716.025,1704.95,1792.2518653428635,1639.7981346571366,Hold Buy/Liquidate Short,Hold Buy/Liquidate Short
55,1715.132142857143,1690.6,1792.298203622644,1637.9660820916422,Hold Buy/Liquidate Short,Hold Buy/Liquidate Short
56,1712.7500000000002,1682.9,1791.8033802128411,1633.696619787159,Hold Buy/Liquidate Short,Hold Buy/Liquidate Short
57,1717.9,1779.3,1804.4358173954965,1631.3641826045034,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
58,1722.0678571428573,1760.1,1810.8446351801365,1633.2910791055785,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
59,1729.675,1829.95,1835.564294512272,1623.785705487728,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
60,1727.9071428571426,1773.4,1829.6157148969296,1626.1985708173556,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
61,1728.4964285714286,1788.05,1831.586370364506,1625.406486778351,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
62,1734.5107142857144,1781.9,1839.664975902934,1629.356452668495,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
63,1746.2500000000002,1799.95,1839.9044056214475,1652.5955943785532,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
64,1753.8178571428573,1801.35,1846.8930178972141,1660.7426963885007,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
65,1759.7821428571426,1794.4,1851.7046068994168,1667.859678814869,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
